134 FFP linear_case well-constrained agree_well | 20.152888 0.472610 -0.828251 0.073244 1.000000 0.739059 | 0.000550 0.001879 0.004886 0.000033 0.008217 | 20.151458 0.000559 0.000552 0.472936 0.009035 0.008547 0.830096 0.024782 0.024837 0.999963 0.000033 0.000033 0.737483 0.041864 0.040948 
139 FFP linear_case well-constrained agree_well | 71.265680 0.233002 -0.445575 0.268438 1.000000 0.809913 | 0.000130 0.000805 0.002173 0.000037 0.006160 | 71.266434 0.000133 0.000134 0.232040 0.001864 0.001838 0.429866 0.005629 0.005552 1.000021 0.000037 0.000038 0.827071 0.015427 0.014900 
143 FFP linear_case well-constrained agree_well | 70.231019 0.129471 -0.767929 0.260687 1.000000 0.706217 | 0.000413 0.001612 0.014167 0.000054 0.024161 | 70.231328 0.000413 0.000421 0.128232 0.006395 0.007442 0.764637 0.076237 0.058300 0.999944 0.000051 0.000053 0.725224 0.138442 0.095949 
172 FFP linear_case well-constrained agree_well | 42.435222 0.859198 0.082507 0.041257 1.000000 0.163866 | 0.000176 0.005748 0.000689 0.000071 0.001487 | 42.435996 0.000174 0.000168 0.876504 0.008305 0.007837 0.076853 0.000903 0.000946 1.000071 0.000071 0.000070 0.157364 0.001864 0.001972 
175 FFP linear_case well-constrained agree_well | 54.180949 1.631162 0.994443 0.012714 1.000000 0.523740 | 0.004674 0.016777 0.014973 0.000078 0.016291 | 54.185380 0.004581 0.004801 1.479498 0.101299 0.096007 1.161894 0.121504 0.113129 1.000009 0.000080 0.000077 0.723079 0.185937 0.144114 
176 FFP linear_case well-constrained agree_well | 59.739040 2.910792 -0.406238 0.014961 1.000000 0.056877 | 0.006508 0.055225 0.011626 0.000057 0.002265 | 59.738109 0.006592 0.006595 2.860997 0.105296 0.111167 0.413029 0.025979 0.022699 1.000015 0.000059 0.000059 0.057372 0.005164 0.004340 
197 FFP linear_case well-constrained agree_well | 42.230149 0.827873 -0.424135 0.030900 1.000000 0.323205 | 0.001029 0.007917 0.006285 0.000076 0.006753 | 42.229733 0.000978 0.001014 0.810378 0.014740 0.015644 0.436355 0.013671 0.012530 0.999960 0.000078 0.000075 0.335295 0.015277 0.013504 
200 FFP linear_case well-constrained agree_well | 32.021885 3.859896 -0.297786 0.054962 1.000000 0.567867 | 0.000702 0.006838 0.000790 0.000073 0.001893 | 32.021780 0.000692 0.000689 3.853249 0.012282 0.012306 0.298059 0.001480 0.001455 1.000025 0.000076 0.000075 0.566052 0.003475 0.003464 
209 FFP linear_case well-constrained agree_well | 38.119018 3.641387 -0.321552 0.010845 1.000000 0.117845 | 0.003218 0.034525 0.004519 0.000077 0.002136 | 38.118664 0.003285 0.003314 3.707866 0.064259 0.061040 0.314793 0.008032 0.008011 0.999911 0.000081 0.000082 0.111595 0.003625 0.003650 
224 FFP linear_case well-constrained agree_well | 46.945088 2.801087 0.639641 0.033901 1.000000 0.353308 | 0.004016 0.023688 0.008321 0.000093 0.007651 | 46.946497 0.004047 0.004142 2.669587 0.063356 0.062127 0.693854 0.026885 0.025207 1.000048 0.000096 0.000099 0.398409 0.027296 0.024685 
227 FFP linear_case well-constrained agree_well | 62.377554 1.137632 0.527368 0.082455 1.000000 0.874909 | 0.000331 0.001648 0.001181 0.000034 0.003002 | 62.377239 0.000333 0.000330 1.133199 0.004707 0.004462 0.529458 0.003524 0.003529 0.999969 0.000036 0.000034 0.882119 0.008940 0.009066 
231 FFP linear_case well-constrained agree_well | 64.227933 0.391261 0.026259 0.021258 1.000000 0.037248 | 0.000123 0.015643 0.000970 0.000110 0.001710 | 64.228545 0.000114 0.000113 0.453789 0.029331 0.027076 0.018778 0.001400 0.001308 0.999998 0.000112 0.000110 0.029773 0.002144 0.002024 
239 FFP linear_case well-constrained agree_well | 28.776255 13.546851 -0.141542 0.001866 1.000000 0.027842 | 0.004097 0.095522 0.001241 0.000060 0.000266 | 28.776594 0.004155 0.003945 13.715496 0.212419 0.206270 0.138985 0.002646 0.002684 0.999957 0.000080 0.000079 0.027232 0.000560 0.000570 
245 FFP linear_case well-constrained agree_well | 68.158783 0.899913 -0.081117 0.018647 1.000000 0.393773 | 0.000075 0.001954 0.000245 0.000051 0.001194 | 68.156684 0.000071 0.000070 0.965190 0.002874 0.002909 0.070729 0.000298 0.000302 0.999852 0.000050 0.000050 0.344813 0.001449 0.001394 
